,doi,fk_idx,cole_idx,date
0,s43018-020-00111-6,15.1,25.62,2020-09-14T00:00:00Z
1,s43016-020-00184-7,18.6,54.57,2020-10-20T00:00:00Z
2,s43247-020-00067-6,15.3,26.9,2020-12-23T00:00:00Z
3,s43587-020-00002-6,18.4,26.96,2020-11-23T00:00:00Z
4,s43018-020-00138-9,18.0,34.25,2020-11-17T00:00:00Z
5,s43018-020-00115-2,16.7,27.88,2020-09-28T00:00:00Z
6,s43246-020-00087-x,14.7,26.02,2020-11-12T00:00:00Z
7,s43018-020-00112-5,18.3,28.76,2020-09-21T00:00:00Z
8,s43018-020-00110-7,16.0,29.62,2020-09-18T00:00:00Z
9,s43247-020-00061-y,16.1,28.46,2020-12-18T00:00:00Z
10,s43246-020-00102-1,16.8,26.5,2020-12-18T00:00:00Z
11,s43247-020-00069-4,15.5,25.62,2020-12-18T00:00:00Z
12,s43247-020-00074-7,14.7,26.78,2020-12-18T00:00:00Z
13,s43246-020-00103-0,18.9,30.9,2020-12-18T00:00:00Z
0,s41522-020-00162-8,16.6,26.84,2020-11-12T00:00:00Z
1,s41531-020-00134-x,17.8,27.66,2020-11-13T00:00:00Z
2,s41522-020-00165-5,15.4,26.26,2020-11-13T00:00:00Z
3,s41477-020-0727-y,16.3,54.1,2020-06-26T00:00:00Z
4,s41524-020-00442-z,14.9,27.12,2020-11-13T00:00:00Z
5,s41524-020-00440-1,18.5,30.9,2020-11-12T00:00:00Z
6,s41531-020-00137-8,17.6,28.7,2020-11-13T00:00:00Z
7,s41522-020-00163-7,16.4,27.59,2020-11-12T00:00:00Z
8,s41522-020-00161-9,15.6,26.27,2020-11-13T00:00:00Z
9,s41522-020-00164-6,17.5,29.91,2020-11-12T00:00:00Z
10,s41394-020-00323-z,19.7,26.74,2020-08-17T00:00:00Z
11,s41578-020-0191-3,18.6,56.02,2020-03-09T00:00:00Z
12,s41394-020-00321-1,18.5,27.72,2020-08-13T00:00:00Z
